code,prov,area_ha,sp,elev_mean,elev_min,elev_max,elevF,perim,lat,long,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,sp_abrev,especie
AL001003,AL,5.3859925,PINUS HALEPENSIS,859.58,844,887,1low,1522.34,37.1559,-2.74369,NA,0,1,NA,2,2,1,0,0,NA,NA,4,0,3,1,2,2,2,1,1,1,0,0,1,2,1,1,phale,P. halepensis
AL001004,AL,38.5852756,PINUS HALEPENSIS,865,825,899,1low,3012.6,37.14451,-2.75905,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,1,0,0,0,4,0,1,1,1,0,0,1,1,1,2,1,phale,P. halepensis
AL001005,AL,144.7639986,PINUS HALEPENSIS,1111.46,859,1315,1low,6074,37.12714,-2.77864,1,2,0,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,2,1,phale,P. halepensis
AL001006,AL,94.8816095,PINUS HALEPENSIS,1148.45,892,1367,1low,7047.49,37.12397,-2.76244,1,3,0,0,0,1,2,0,0,1,1,1,0,0,0,3,0,0,1,1,0,0,1,1,1,1,1,phale,P. halepensis
AL001007,AL,23.732071599999998,PINUS HALEPENSIS,1252.58,1046,1428,2medium,2358.71,37.1181,-2.75231,1,2,0,0,0,1,3,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,phale,P. halepensis
AL001008,AL,11.0302896,PINUS HALEPENSIS,1331.13,1282,1377,2medium,1491.9,37.12028,-2.77368,1,2,0,0,0,1,0,0,0,NA,0,1,0,0,0,1,0,1,2,1,0,0,1,1,1,3,2,phale,P. halepensis
AL001009,AL,191.8822702,PINUS HALEPENSIS,1532.91,1309,1821,2medium,8867.8,37.09912,-2.77395,1,0,0,0,0,1,0,0,0,NA,1,1,NA,0,0,1,0,1,2,1,0,0,1,1,1,1,2,phale,P. halepensis
AL001010,AL,99.0278225,PINUS HALEPENSIS,1302.1,1236,1388,2medium,7433.02,37.11065,-2.7603,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,3,phale,P. halepensis
AL001011,AL,6.4029282,PINUS HALEPENSIS,845.36,795,888,1low,1085.41,37.14921,-2.74434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,2,2,1,1,1,0,0,1,2,1,1,phale,P. halepensis
AL002001,AL,27.146284700000002,PINUS SYLVESTRIS,1848.3,1736,1928,3high,2701.02,37.23224,-2.78006,NA,0,0,0,0,1,1,3,0,0,0,0,0,1,0,1,1,1,2,1,1,0,0,2,2,2,2,psylv,P. sylvestris
AL002002,AL,33.3034293,PINUS NIGRA SSP SALZM.,1725.73,1549,1897,3high,3657.51,37.22601,-2.78292,NA,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,2,1,1,0,0,2,2,2,1,pnig_sal,P. nigra
AL002003,AL,513.3161276999999,PINUS HALEPENSIS,1419.13,1153,1890,2medium,17172.8,37.2118,-2.79308,NA,NA,1,1,3,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,1,0,phale,P. halepensis
AL002004,AL,23.9543476,PINUS PINASTER,1667.65,1548,1760,2medium,2556.72,37.22536,-2.78881,NA,0,0,0,1,1,1,1,3,0,0,0,0,1,1,1,0,0,1,1,0,0,0,2,2,2,2,ppinas,P. pinaster
AL002005,AL,42.8032477,PINUS PINASTER,1494.21,1347,1661,2medium,4025.59,37.21839,-2.79446,NA,0,1,0,0,0,0,1,0,0,4,0,0,0,2,1,0,0,0,0,0,0,0,2,3,2,0,ppinas,P. pinaster
AL002006,AL,210.04738220000002,PINUS HALEPENSIS,1111.92,995,1243,1low,12097.78,37.19262,-2.79371,2,4,NA,0,NA,2,NA,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,2,3,1,0,phale,P. halepensis
AL002007,AL,267.1728734,PINUS NIGRA SSP AUSTR.,1491.54,1266,1799,2medium,17368.44,37.13629,-2.86806,3,0,0,0,0,2,0,0,0,1,2,3,NA,0,0,0,0,0,3,3,1,0,0,1,1,2,2,pnig_aus,P. nigra
