code,prov,area_ha,sp,elev_mean,elev_min,elev_max,elevF,perim,lat,long,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,sp_abrev,especie
GR099025,GR,228.92252050000002,NA,1517.64,1365,1658,2medium,8483.5,37.27294,-3.48563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,1,1,1,1,1,NA,NA
GR099026,GR,84.4040399,PINUS NIGRA SSP SALZM.,1510.23,1391,1648,2medium,6222.05,37.26992,-3.4744,3,0,1,1,3,3,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,1,pnig_sal,P. nigra
GR099027,GR,139.5252993,PINUS NIGRA SSP SALZM.,1369.44,1276,1485,2medium,6154.62,37.26157,-3.48197,3,0,1,2,4,4,1,1,3,3,3,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,pnig_sal,P. nigra
GR099028,GR,35.622138400000004,PINUS PINASTER,1404.47,1315,1511,2medium,4675.16,37.26325,-3.46549,2,0,1,1,2,3,NA,0,3,3,2,2,1,1,1,1,1,1,1,1,0,1,2,2,1,1,1,ppinas,P. pinaster
GR099029,GR,63.4895443,PINUS NIGRA SSP SALZM.,1417.44,1294,1525,2medium,3482.67,37.26569,-3.49395,0,0,1,1,2,1,3,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,0,1,1,1,pnig_sal,P. nigra
GR099030,GR,69.3544227,PINUS PINASTER,1297.32,1190,1365,2medium,3969.4,37.26136,-3.5025,0,0,1,1,1,2,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,ppinas,P. pinaster
GR099031,GR,78.1099588,PINUS PINASTER,1252.89,1167,1327,2medium,5098.86,37.25691,-3.49543,1,1,1,1,3,3,0,1,1,1,1,1,0,0,2,1,0,0,1,0,0,2,1,1,0,0,0,ppinas,P. pinaster
GR099032,GR,133.4025591,NA,1372.94,1247,1503,2medium,9543.75,37.24995,-3.47627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,0,1,2,2,1,1,2,NA,NA
GR099033,GR,240.9126659,PINUS NIGRA SSP SALZM.,1279.77,1104,1476,2medium,7599.29,37.24899,-3.49975,0,0,1,2,2,2,0,0,1,1,1,1,0,0,2,1,0,0,1,0,0,0,2,1,1,1,1,pnig_sal,P. nigra
GR099035,GR,19.6944351,PINUS HALEPENSIS,1254.3,1179,1471,2medium,6749.8,37.24406,-3.49071,1,1,1,1,1,1,0,1,1,1,2,0,0,0,1,1,0,0,0,0,0,0,1,2,1,1,1,phale,P. halepensis
GR099036,GR,50.153408500000005,NA,1356.25,1102,1509,2medium,6459.73,37.24255,-3.50305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,0,0,NA,NA
GR099038,GR,60.450608900000006,NA,1262.65,1150,1428,2medium,4531.04,37.23805,-3.50414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,2,1,1,1,NA,NA
GR099039,GR,111.9065661,PINUS HALEPENSIS,1195.71,1079,1366,1low,7697.89,37.23437,-3.51573,1,0,1,1,2,2,NA,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,2,1,1,0,phale,P. halepensis
GR099042,GR,90.44259960000001,PINUS NIGRA SSP SALZM.,1185.68,1105,1411,1low,5146.62,37.23449,-3.4884,3,0,1,1,3,3,NA,0,2,3,3,2,1,1,2,1,1,1,1,1,0,0,1,2,1,1,1,pnig_sal,P. nigra
GR102001,GR,172.1880115,PINUS HALEPENSIS,1121.36,937,1266,1low,10387.96,37.31037,-3.87761,NA,NA,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,phale,P. halepensis
GR102002,GR,394.3610916,PINUS HALEPENSIS,1022.5,724,1358,1low,22769.05,37.28451,-3.9139,NA,NA,1,1,0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,phale,P. halepensis
GR102003,GR,318.7748555,PINUS HALEPENSIS,1351.37,980,1561,2medium,16329.83,37.2921,-3.92641,NA,NA,1,1,1,2,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,phale,P. halepensis
GR102004,GR,133.90715120000002,PINUS HALEPENSIS,1080.96,843,1317,1low,9634.76,37.27983,-3.93454,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,phale,P. halepensis
GR103001,GR,167.65787450000002,PINUS HALEPENSIS,774.25,540,1128,1low,13078.3,36.81558,-3.62773,NA,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,phale,P. halepensis
GR103002,GR,150.2234391,PINUS HALEPENSIS,804.98,469,1187,1low,9567.74,36.81657,-3.63705,NA,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
GR105001,GR,260.598943,PINUS HALEPENSIS,947.33,861,1074,1low,12303.62,37.37682,-3.50165,NA,0,0,1,2,2,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,phale,P. halepensis
GR105002,GR,697.3919656,PINUS HALEPENSIS,1118.82,962,1375,1low,19448.43,37.36862,-3.4275,NA,0,0,0,1,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,phale,P. halepensis
GR105003,GR,125.2373024,PINUS HALEPENSIS,989.64,922,1058,1low,6038.65,37.37226,-3.48749,NA,NA,NA,NA,NA,1,1,0,0,2,3,0,1,1,3,1,1,1,0,1,0,0,0,3,0,0,1,phale,P. halepensis
GR105004,GR,501.1318391,PINUS HALEPENSIS,1093.03,952,1339,1low,26326.26,37.35893,-3.47212,NA,0,0,1,1,2,1,0,0,1,0,1,0,0,1,1,1,1,2,0,1,0,1,3,0,0,0,phale,P. halepensis
GR105005,GR,332.8360621,PINUS HALEPENSIS,1346.98,1197,1531,2medium,13637.76,37.36253,-3.40273,NA,0,0,1,1,1,1,0,0,0,2,2,0,0,1,0,1,1,0,0,0,1,1,2,0,0,0,phale,P. halepensis
GR105006,GR,121.0744295,PINUS HALEPENSIS,938.1,826,1065,1low,5901.98,37.36649,-3.52149,NA,0,0,0,1,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,3,1,1,1,phale,P. halepensis
GR105007,GR,128.1838818,PINUS HALEPENSIS,1470.16,1345,1595,2medium,6601.43,37.36168,-3.38704,NA,0,0,1,3,4,NA,0,1,2,3,2,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,phale,P. halepensis
GR105008,GR,243.9513496,PINUS HALEPENSIS,989.26,865,1091,1low,12285.17,37.35759,-3.52299,NA,0,0,1,3,4,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,phale,P. halepensis
GR105009,GR,84.7054247,PINUS HALEPENSIS,1019.69,808,1345,1low,6273.49,37.34792,-3.539,NA,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
GR105010,GR,28.5576043,PINUS HALEPENSIS,1099.72,1032,1202,1low,3356.57,37.35922,-3.48888,NA,0,0,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,phale,P. halepensis
GR105011,GR,430.575022,PINUS HALEPENSIS,1246.14,1075,1503,2medium,11261.88,37.35289,-3.43804,NA,0,0,2,2,3,1,0,1,2,3,0,0,1,3,1,1,1,0,1,1,0,2,1,0,0,0,phale,P. halepensis
GR105012,GR,225.0377931,PINUS HALEPENSIS,1147.19,1041,1340,1low,15448.8,37.35124,-3.50151,NA,0,0,1,1,3,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,phale,P. halepensis
GR105013,GR,191.0168121,PINUS HALEPENSIS,1112.75,956,1351,1low,9770.8,37.34723,-3.52218,NA,0,0,0,2,2,1,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,phale,P. halepensis
GR105014,GR,325.9447997,PINUS HALEPENSIS,1321.01,1123,1700,2medium,22315.26,37.34274,-3.48918,NA,0,0,1,1,2,1,0,1,3,2,0,0,1,0,0,1,1,0,0,0,0,0,3,0,0,0,phale,P. halepensis
GR105015,GR,78.3915981,PINUS HALEPENSIS,1394.91,1107,1711,2medium,3557.54,37.33481,-3.53308,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
GR105016,GR,31.3352686,PINUS HALEPENSIS,1506.82,1342,1711,2medium,2341.89,37.32903,-3.53307,NA,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,phale,P. halepensis
GR105017,GR,84.8621264,PINUS HALEPENSIS,1558.48,1344,1753,2medium,3931.35,37.32226,-3.53173,NA,1,0,0,0,0,1,0,1,2,NA,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,phale,P. halepensis
GR107001,GR,243.4856106,PINUS PINASTER,963.7,860,1085,1low,10683.36,36.94312,-3.83187,NA,0,0,1,1,1,1,1,1,2,0,1,0,0,0,2,0,0,1,0,0,1,2,3,0,1,1,ppinas,P. pinaster
GR107002,GR,111.0016206,PINUS PINASTER,1001.89,891,1086,1low,5097.32,36.93944,-3.83698,NA,0,0,2,3,3,1,2,2,3,0,1,0,0,1,3,0,0,0,0,1,0,1,4,0,1,1,ppinas,P. pinaster
GR107003,GR,293.9897324,PINUS HALEPENSIS,1067.5,904,1190,1low,11944.93,36.92273,-3.82019,NA,0,1,2,1,2,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,3,2,0,0,0,phale,P. halepensis
GR107004,GR,181.3368075,PINUS HALEPENSIS,1110.82,925,1274,1low,13101.41,36.91439,-3.79148,NA,0,0,2,2,2,1,2,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,3,1,1,1,phale,P. halepensis
GR107005,GR,248.77984070000002,PINUS HALEPENSIS,1127.37,976,1227,1low,9121.06,36.91828,-3.76909,NA,0,0,1,2,2,1,2,1,1,1,0,0,0,0,1,0,0,1,0,1,2,1,1,1,1,1,phale,P. halepensis
GR107006,GR,400.5212369,PINUS PINASTER,1134.97,933,1293,1low,11578.46,36.90291,-3.80604,NA,0,1,2,1,2,2,1,1,1,3,0,0,1,1,3,0,0,2,3,1,0,1,3,3,2,2,ppinas,P. pinaster
GR107007,GR,390.9407163,PINUS NIGRA SSP SALZM.,1170.32,939,1342,1low,15865.94,36.90995,-3.78102,NA,0,0,1,1,1,1,2,1,2,3,0,0,0,1,4,0,0,1,1,1,0,2,2,3,1,2,pnig_sal,P. nigra
GR107008,GR,265.8433972,PINUS PINASTER,1185.67,959,1291,1low,10575.45,36.90941,-3.77084,NA,0,0,1,1,2,1,2,1,1,3,0,0,0,1,2,0,0,1,1,1,1,1,3,3,1,1,ppinas,P. pinaster
GR107009,GR,83.2485772,PINUS PINASTER,1266.52,1113,1344,2medium,6716.33,36.89131,-3.77789,NA,0,1,0,1,2,2,1,1,2,3,0,0,1,2,4,0,0,3,1,0,1,1,3,4,1,2,ppinas,P. pinaster
GR107010,GR,84.0507468,PINUS PINASTER,1168.12,1043,1281,1low,4270.99,36.88952,-3.79796,NA,0,0,1,1,1,1,1,0,2,2,0,0,0,2,3,0,0,1,0,0,0,2,3,0,2,1,ppinas,P. pinaster
GR107011,GR,132.5541862,PINUS PINASTER,1154.6,1053,1374,1low,7398.82,36.88222,-3.79308,NA,0,0,1,0,2,1,2,0,2,2,0,0,0,1,1,0,0,1,1,0,0,1,0,2,2,1,ppinas,P. pinaster
GR107012,GR,243.22879070000002,PINUS PINASTER,1190.41,1061,1378,1low,9173.3,36.88057,-3.78004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,1,2,2,0,0,1,1,0,0,2,0,4,3,2,ppinas,P. pinaster
GR107013,GR,429.52732869999994,PINUS PINASTER,1085.67,913,1278,1low,17673.92,36.91236,-3.79848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,2,0,0,1,1,1,0,1,3,1,1,1,ppinas,P. pinaster
GR108001,GR,264.4717465,PINUS HALEPENSIS,1427.78,1214,1707,2medium,11673.17,37.19429,-3.18346,1,0,0,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,NA,0,1,0,0,1,1,0,0,0,phale,P. halepensis
GR108002,GR,251.1729662,PINUS PINASTER,1539.85,1299,1726,2medium,8435.39,37.18504,-3.20223,1,0,0,0,0,1,0,0,0,0,1,NA,1,0,0,0,0,NA,0,1,0,1,0,1,0,0,0,ppinas,P. pinaster
GR108003,GR,112.3601057,PINUS NIGRA SSP SALZM.,1758.51,1638,1870,3high,9030.88,37.18063,-3.21764,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,0,0,0,NA,1,3,0,0,0,1,0,0,1,pnig_sal,P. nigra
GR108004,GR,159.8176132,PINUS NIGRA SSP SALZM.,1384.28,1256,1566,2medium,7708.61,37.17686,-3.17792,1,0,0,0,1,2,0,0,0,0,2,NA,0,0,0,0,0,NA,0,1,0,0,0,1,0,0,0,pnig_sal,P. nigra
GR108005,GR,241.506322,NA,1473.27,1262,1715,2medium,9072.35,37.17695,-3.19059,0,0,0,0,0,0,0,0,0,NA,NA,2,1,0,0,0,0,NA,0,1,0,1,0,1,0,0,0,NA,NA
GR108006,GR,118.0262094,PINUS NIGRA SSP SALZM.,1837.14,1684,1990,3high,5461.55,37.17516,-3.22682,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,1,3,1,1,0,1,0,0,0,pnig_sal,P. nigra
GR108007,GR,108.509378,PINUS NIGRA SSP SALZM.,1600.47,1406,1715,2medium,6618.46,37.17475,-3.20887,2,1,0,0,2,2,1,0,0,0,2,2,0,0,0,0,0,NA,2,3,1,0,1,0,0,0,1,pnig_sal,P. nigra
GR108008,GR,267.3331744,PINUS HALEPENSIS,1383.22,1257,1605,2medium,9026.95,37.16656,-3.16243,1,0,0,0,0,2,0,0,0,0,3,NA,0,0,0,0,0,NA,1,1,0,1,0,0,0,0,0,phale,P. halepensis
GR108009,GR,97.2594766,PINUS NIGRA SSP SALZM.,1785.26,1639,1949,3high,7244.88,37.16928,-3.21716,2,1,0,1,2,2,2,0,0,1,1,2,NA,0,0,0,0,NA,3,4,2,0,0,0,0,0,1,pnig_sal,P. nigra
GR108010,GR,65.5848077,NA,1656.38,1571,1727,2medium,3364.27,37.16917,-3.19606,0,0,0,0,0,0,0,0,0,0,1,NA,NA,0,NA,0,0,NA,0,1,0,1,0,0,0,0,1,NA,NA
GR108011,GR,109.4017777,NA,1881.69,1722,2005,3high,7454.37,37.16586,-3.22023,0,0,0,0,0,0,0,0,0,0,1,3,NA,1,0,0,NA,NA,3,4,2,1,0,0,0,0,2,NA,NA
GR108012,GR,77.73545039999999,PINUS NIGRA SSP SALZM.,1450.72,1275,1561,2medium,7439.37,37.1582,-3.18341,0,0,0,1,1,2,0,0,0,0,3,NA,0,0,0,0,0,NA,1,3,0,0,1,1,0,0,0,pnig_sal,P. nigra
GR108013,GR,77.310128,PINUS NIGRA SSP SALZM.,1468.3,1369,1564,2medium,7718.21,37.16217,-3.18573,1,0,0,0,0,2,1,0,0,0,3,NA,0,0,0,0,0,NA,1,1,0,1,0,0,0,0,1,pnig_sal,P. nigra
GR108014,GR,284.8746893,PINUS SYLVESTRIS,1819.12,1566,2038,3high,9583.87,37.15908,-3.21036,0,0,1,1,2,3,0,0,0,0,2,4,NA,1,0,1,0,NA,3,4,2,1,0,0,0,0,2,psylv,P. sylvestris
GR108015,GR,178.25600759999998,PINUS NIGRA SSP SALZM.,1606.57,1478,1763,2medium,8311,37.15639,-3.19788,1,0,0,0,0,2,1,0,0,0,1,4,NA,1,0,1,0,NA,2,4,1,0,0,0,0,0,1,pnig_sal,P. nigra
GR108016,GR,79.10761169999999,PINUS NIGRA SSP SALZM.,1442.35,1312,1558,2medium,6724.85,37.15406,-3.18089,0,0,0,0,0,2,0,0,0,0,1,NA,0,0,0,1,0,NA,1,1,0,0,0,0,0,0,1,pnig_sal,P. nigra
GR108017,GR,92.6459005,PINUS NIGRA SSP SALZM.,1474.12,1345,1585,2medium,6429.43,37.15148,-3.17666,1,0,1,1,3,2,0,0,0,0,3,3,0,0,0,0,0,NA,2,3,0,1,0,0,0,0,0,pnig_sal,P. nigra
GR108018,GR,103.2010577,PINUS NIGRA SSP SALZM.,1643.22,1495,1779,2medium,5292.16,37.14582,-3.17566,1,0,1,1,3,2,0,0,0,0,3,NA,NA,0,NA,0,0,NA,2,4,1,1,0,1,1,1,1,pnig_sal,P. nigra
GR108019,GR,203.3121095,PINUS SYLVESTRIS,1744.76,1515,2009,3high,8834.62,37.14152,-3.20302,0,0,0,1,1,3,0,0,0,0,2,NA,NA,0,0,0,0,NA,3,4,2,1,1,1,0,1,2,psylv,P. sylvestris
GR108020,GR,67.1090004,PINUS NIGRA SSP SALZM.,1604.91,1496,1728,2medium,4101.97,37.14447,-3.18895,0,0,0,0,0,2,0,0,0,0,2,3,NA,0,NA,0,0,NA,2,3,1,2,0,0,0,0,0,pnig_sal,P. nigra
GR108021,GR,206.2034533,PINUS SYLVESTRIS,1844.17,1551,2039,3high,9276,37.14403,-3.21433,1,0,1,2,2,4,1,0,0,0,3,4,NA,1,0,2,0,NA,2,5,2,1,0,2,1,1,2,psylv,P. sylvestris
GR108022,GR,200.6152096,PINUS SYLVESTRIS,1847.29,1697,1989,3high,7254.76,37.13073,-3.20142,0,0,0,1,1,3,0,0,0,0,2,3,NA,0,NA,0,NA,NA,2,4,2,1,1,1,1,1,1,psylv,P. sylvestris
GR108023,GR,155.2391479,PINUS SYLVESTRIS,1759.29,1510,2012,3high,5164.24,37.13361,-3.17755,0,0,0,0,0,2,0,0,0,0,1,5,NA,1,0,0,0,NA,2,3,1,1,1,0,0,1,1,psylv,P. sylvestris
GR108024,GR,181.9284605,PINUS SYLVESTRIS,1666.53,1514,1773,2medium,6273.97,37.13172,-3.19047,0,0,0,0,1,2,0,0,0,0,1,3,NA,0,0,0,0,NA,2,3,1,2,0,0,0,1,1,psylv,P. sylvestris
GR108025,GR,227.77614989999998,PINUS SYLVESTRIS,1845.84,1605,1988,3high,8674.89,37.12038,-3.19004,0,0,0,0,1,3,0,0,0,0,1,3,NA,0,NA,0,0,NA,3,4,3,0,0,0,0,1,1,psylv,P. sylvestris
GR109001,GR,157.8255713,PINUS HALEPENSIS,860.65,609,1189,1low,8372.55,36.82112,-3.65095,NA,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,phale,P. halepensis
GR112001,GR,125.92198880000001,PINUS SYLVESTRIS,2075.08,1716,2280,3high,16277.01,36.9839,-3.23861,NA,NA,0,0,0,2,2,3,2,3,2,NA,1,2,1,NA,0,NA,1,2,0,1,0,1,0,0,2,psylv,P. sylvestris
GR112002,GR,7.6087487,PINUS SYLVESTRIS,1514.3,1461,1561,2medium,1265.3,36.96331,-3.21387,NA,NA,0,0,1,3,2,0,0,0,1,NA,0,0,0,1,1,NA,1,2,0,1,0,0,0,0,1,psylv,P. sylvestris
GR112003,GR,61.515130400000004,PINUS SYLVESTRIS,1856.21,1641,2006,3high,5900.9,36.96962,-3.24347,NA,NA,0,0,0,2,2,3,2,3,2,NA,1,0,1,2,1,NA,1,1,0,0,0,1,0,0,2,psylv,P. sylvestris
GR114001,GR,128.9604254,PINUS HALEPENSIS,1339.26,1250,1498,2medium,5222.21,37.16837,-3.05489,1,0,0,0,2,4,0,0,0,0,3,4,0,0,NA,0,0,NA,0,1,0,0,0,2,1,1,1,phale,P. halepensis
GR116001,GR,12.5395527,PINUS SYLVESTRIS,2305,2103,2498,3high,3222.58,36.98514,-3.4608,NA,NA,0,0,0,0,NA,1,1,0,0,NA,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,psylv,P. sylvestris
GR116002,GR,49.4063207,PINUS SYLVESTRIS,1977.55,1798,2157,3high,7008.15,36.96892,-3.44541,NA,NA,0,0,0,3,NA,3,0,0,0,NA,1,NA,0,1,0,NA,1,1,0,1,0,0,0,1,2,psylv,P. sylvestris
GR116004,GR,51.296444699999995,PINUS SYLVESTRIS,1848.29,1719,2018,3high,6142.81,36.9647,-3.46591,NA,NA,0,0,1,3,NA,3,1,0,1,NA,2,NA,NA,0,0,NA,2,1,0,1,0,1,1,1,4,psylv,P. sylvestris
GR116005,GR,40.1128229,PINUS SYLVESTRIS,1625.32,1430,1819,2medium,3699.19,36.95988,-3.46284,NA,NA,0,0,1,3,NA,3,1,0,1,NA,0,NA,NA,0,0,NA,2,2,1,0,0,1,1,0,2,psylv,P. sylvestris
GR116006,GR,4.243490400000001,PINUS SYLVESTRIS,1444.65,1383,1515,2medium,991.65,36.94296,-3.46009,NA,NA,0,0,0,3,3,2,0,0,1,NA,NA,2,3,3,1,NA,2,1,0,3,0,0,0,0,1,psylv,P. sylvestris
GR116007,GR,36.676996100000004,PINUS CANARIENSIS,768.1,514,1012,1low,5133.13,36.92399,-3.49225,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,NA,3,3,3,3,4,NA,3,3,2,1,0,3,2,2,3,pcana,NA
GR116008,GR,6.6468732,PINUS PINASTER,1432.77,1393,1476,2medium,1453.45,36.94507,-3.49065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,2,2,1,0,2,2,2,2,2,ppinas,P. pinaster
GR117001,GR,290.4734257,PINUS NIGRA SSP SALZM.,1447.03,1276,1607,2medium,11643.3,37.15814,-3.15594,0,0,0,0,0,1,0,0,0,0,1,NA,1,0,0,0,0,NA,1,2,1,0,0,0,0,0,0,pnig_sal,P. nigra
GR117002,GR,312.27169150000003,PINUS HALEPENSIS,1486.15,1311,1744,2medium,9078.39,37.15725,-3.11834,1,0,0,1,1,2,0,0,0,0,1,NA,0,0,0,0,0,NA,0,1,1,0,0,0,0,0,0,phale,P. halepensis
GR117003,GR,205.83342,PINUS NIGRA SSP SALZM.,1517.65,1347,1710,2medium,8388.45,37.14838,-3.13849,1,0,0,0,1,2,0,0,0,1,3,2,0,0,0,0,0,NA,1,2,1,0,0,1,0,0,0,pnig_sal,P. nigra
GR117004,GR,155.5008538,PINUS NIGRA SSP SALZM.,1507.83,1327,1665,2medium,6643.07,37.14921,-3.15053,1,0,0,0,0,2,0,0,0,0,3,3,0,0,0,0,0,NA,1,1,1,0,0,1,0,0,0,pnig_sal,P. nigra
GR117005,GR,193.4297899,PINUS NIGRA SSP SALZM.,1556.2,1379,1735,2medium,8498.86,37.14747,-3.12664,1,0,0,1,1,2,0,0,0,0,1,3,NA,0,0,0,0,NA,2,2,2,1,0,1,0,0,0,pnig_sal,P. nigra
GR117006,GR,350.5772733,PINUS SYLVESTRIS,1770.81,1530,2008,3high,10541.64,37.13491,-3.16485,0,0,0,0,1,3,0,0,0,0,2,3,NA,0,0,0,0,NA,2,3,1,1,0,1,0,0,0,psylv,P. sylvestris
GR117007,GR,363.9918356,PINUS SYLVESTRIS,1794.81,1537,2048,3high,10680.42,37.12933,-3.15208,0,0,0,2,2,4,0,0,0,0,3,4,NA,0,0,0,0,NA,3,4,2,1,0,1,0,0,1,psylv,P. sylvestris
GR117008,GR,177.498519,PINUS SYLVESTRIS,1778.12,1594,1998,3high,8728.72,37.12921,-3.14061,0,0,0,0,2,4,0,0,0,0,3,4,NA,1,0,0,0,NA,2,4,2,1,1,2,1,0,1,psylv,P. sylvestris
GR117009,GR,293.9026279,PINUS SYLVESTRIS,1822.09,1596,2082,3high,8498.98,37.1346,-3.12499,1,0,0,0,1,3,0,0,0,0,2,3,3,1,0,0,0,NA,2,4,2,1,0,2,1,0,1,psylv,P. sylvestris
GR117010,GR,227.9879361,PINUS SYLVESTRIS,1940.9,1684,2116,3high,10913.05,37.11642,-3.13097,0,0,0,0,0,2,0,0,0,0,1,3,NA,0,0,0,NA,NA,2,4,2,0,0,2,1,1,2,psylv,P. sylvestris
GR119001,GR,42.2881091,PINUS SYLVESTRIS,2247.6,2087,2350,3high,4129.05,36.97583,-3.4786,NA,NA,0,0,1,1,2,1,1,0,0,NA,0,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,1,1,psylv,P. sylvestris
GR119003,GR,8.1686443,PINUS SYLVESTRIS,2013.88,1954,2073,3high,2553.94,36.97755,-3.48915,NA,NA,0,0,1,1,2,1,1,1,1,NA,2,NA,NA,NA,NA,NA,0,0,0,2,1,1,1,1,1,psylv,P. sylvestris
GR119004,GR,255.08281000000002,PINUS PINASTER,1452.8,1117,1852,2medium,20687.26,36.96791,-3.51032,NA,NA,0,1,4,4,4,1,1,2,3,4,4,NA,2,2,1,NA,1,1,1,1,2,2,2,2,2,ppinas,P. pinaster
GR119005,GR,85.333278,PINUS HALEPENSIS,1064.79,805,1270,1low,12639.47,36.96429,-3.52813,NA,NA,0,0,4,1,2,1,1,1,1,3,1,NA,1,1,1,NA,1,0,1,0,1,1,2,2,2,phale,P. halepensis
GR119006,GR,96.5333189,PINUS PINASTER,2111.82,1965,2255,3high,4385.37,36.97014,-3.48206,NA,NA,0,0,1,1,2,1,1,0,0,NA,1,NA,NA,NA,NA,NA,0,0,0,1,1,0,1,1,1,ppinas,P. pinaster
GR119008,GR,79.7659789,PINUS SYLVESTRIS,1862.66,1613,1996,3high,5223.3,36.9656,-3.48944,NA,NA,0,0,1,1,2,1,1,1,1,NA,3,NA,NA,NA,NA,NA,0,0,0,1,1,1,2,2,2,psylv,P. sylvestris
GR119009,GR,31.740652100000002,PINUS PINASTER,2185.2,2112,2305,3high,2649.67,36.96621,-3.47565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,0,0,0,1,1,0,1,1,1,ppinas,P. pinaster
GR119011,GR,26.1756228,PINUS SYLVESTRIS,2054.38,1972,2140,3high,2439.04,36.96194,-3.47839,NA,NA,0,0,1,3,3,1,1,0,1,NA,1,NA,NA,NA,NA,NA,0,1,0,0,1,0,1,1,1,psylv,P. sylvestris
GR119012,GR,42.3102012,PINUS HALEPENSIS,800.6,665,900,1low,5292.53,36.95953,-3.5704,NA,4,1,0,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,phale,P. halepensis
GR119013,GR,25.4265588,PINUS SYLVESTRIS,1888.75,1744,2007,3high,2394.15,36.96051,-3.48564,NA,NA,0,0,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,2,0,0,1,0,0,1,1,1,psylv,P. sylvestris
GR119014,GR,43.0209464,PINUS SYLVESTRIS,1880.61,1756,2007,3high,2865.52,36.95715,-3.48243,NA,NA,0,0,1,3,3,1,1,1,1,2,2,NA,0,NA,0,NA,1,0,0,1,1,1,1,1,2,psylv,P. sylvestris
GR119016,GR,12.532495299999999,PINUS PINASTER,1671.39,1562,1761,2medium,2088.22,36.95736,-3.49174,NA,NA,0,0,1,2,2,1,1,2,2,2,2,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,1,1,ppinas,P. pinaster
GR119017,GR,33.8756283,PINUS SYLVESTRIS,1690.27,1508,1808,2medium,2858.16,36.95304,-3.48683,NA,NA,0,0,1,3,3,1,1,1,2,2,2,NA,NA,NA,NA,NA,1,0,1,1,1,1,1,1,2,psylv,P. sylvestris
